99999999, 2, 4, 6, 8, 10, 12, 14, 16, 18, 20, 22, 24, 26, 28, 30, 32, 34, 15, 17, 19, 21, 23, 7, 9, 11, 13, 15, 17, 19, 21, 23, 25, 11, 13, 15, 17, 19, 21, 23, 25, 27, 13, 15, 17, 19, 21, 23, 25, 27, 29, 15, 17, 19, 21, 23, 25, 27, 29, 31, 17, 19, 21, 23, 25, 27, 29, 31, 33, 19, 21, 23, 25, 27, 29, 31, 33, 35, 17, 19, 21, 23, 25, 27, 29, 31, 33, 35, 37, 27, 29, 
2, 99999999, 4, 6, 8, 10, 12, 14, 16, 18, 20, 22, 24, 26, 28, 30, 32, 34, 13, 17, 19, 21, 23, 5, 7, 9, 11, 13, 15, 17, 19, 21, 23, 9, 11, 13, 15, 17, 19, 21, 23, 25, 11, 13, 15, 17, 19, 21, 23, 25, 27, 13, 15, 17, 19, 21, 23, 25, 27, 29, 15, 17, 19, 21, 23, 25, 27, 29, 31, 17, 19, 21, 23, 25, 27, 29, 31, 33, 17, 17, 19, 21, 23, 25, 27, 29, 31, 33, 35, 25, 27, 
4, 4, 99999999, 4, 6, 8, 10, 12, 14, 16, 18, 20, 22, 24, 26, 28, 30, 32, 11, 15, 17, 19, 21, 3, 5, 7, 9, 11, 13, 15, 17, 19, 21, 7, 9, 11, 13, 15, 17, 19, 21, 23, 9, 11, 13, 15, 17, 19, 21, 23, 25, 11, 13, 15, 17, 19, 21, 23, 25, 27, 13, 15, 17, 19, 21, 23, 25, 27, 29, 15, 17, 19, 21, 23, 25, 27, 29, 31, 17, 15, 17, 19, 21, 23, 25, 27, 29, 31, 33, 23, 25, 
6, 6, 4, 99999999, 2, 6, 8, 10, 12, 14, 16, 18, 20, 22, 24, 26, 28, 30, 9, 13, 15, 17, 19, 5, 3, 5, 7, 9, 11, 13, 15, 17, 19, 5, 7, 9, 11, 13, 15, 17, 19, 21, 7, 9, 11, 13, 15, 17, 19, 21, 23, 9, 11, 13, 15, 17, 19, 21, 23, 25, 11, 13, 15, 17, 19, 21, 23, 25, 27, 13, 15, 17, 19, 21, 23, 25, 27, 29, 19, 17, 15, 17, 19, 21, 23, 25, 27, 29, 31, 21, 23, 
8, 8, 6, 2, 99999999, 4, 6, 8, 10, 12, 14, 16, 18, 20, 22, 24, 26, 28, 7, 11, 13, 15, 17, 7, 5, 3, 5, 7, 9, 11, 13, 15, 17, 7, 5, 7, 9, 11, 13, 15, 17, 19, 9, 7, 9, 11, 13, 15, 17, 19, 21, 11, 9, 11, 13, 15, 17, 19, 21, 23, 13, 11, 13, 15, 17, 19, 21, 23, 25, 15, 13, 15, 17, 19, 21, 23, 25, 27, 21, 19, 17, 15, 17, 19, 21, 23, 25, 27, 29, 19, 21, 
10, 10, 8, 6, 4, 99999999, 4, 6, 8, 10, 12, 14, 16, 18, 20, 22, 24, 26, 5, 9, 11, 13, 15, 9, 7, 5, 3, 5, 7, 9, 11, 13, 15, 9, 7, 5, 7, 9, 11, 13, 15, 17, 11, 9, 7, 9, 11, 13, 15, 17, 19, 13, 11, 9, 11, 13, 15, 17, 19, 21, 15, 13, 11, 13, 15, 17, 19, 21, 23, 17, 15, 13, 15, 17, 19, 21, 23, 25, 23, 21, 19, 17, 15, 17, 19, 21, 23, 25, 27, 17, 19, 
12, 12, 10, 8, 6, 4, 99999999, 4, 6, 8, 10, 12, 14, 16, 18, 20, 22, 24, 3, 7, 9, 11, 13, 11, 9, 7, 5, 3, 5, 7, 9, 11, 13, 11, 9, 7, 5, 7, 9, 11, 13, 15, 13, 11, 9, 7, 9, 11, 13, 15, 17, 15, 13, 11, 9, 11, 13, 15, 17, 19, 17, 15, 13, 11, 13, 15, 17, 19, 21, 19, 17, 15, 13, 15, 17, 19, 21, 23, 25, 23, 21, 19, 17, 15, 17, 19, 21, 23, 25, 19, 17, 
14, 14, 12, 10, 8, 6, 4, 99999999, 4, 6, 8, 10, 12, 14, 16, 18, 20, 22, 1, 5, 7, 9, 11, 13, 11, 9, 7, 5, 3, 5, 7, 9, 11, 13, 11, 9, 7, 5, 7, 9, 11, 13, 15, 13, 11, 9, 7, 9, 11, 13, 15, 17, 15, 13, 11, 9, 11, 13, 15, 17, 19, 17, 15, 13, 11, 13, 15, 17, 19, 21, 19, 17, 15, 13, 15, 17, 19, 21, 27, 25, 23, 21, 19, 17, 15, 17, 19, 21, 23, 21, 19, 
16, 16, 14, 12, 10, 8, 6, 4, 99999999, 4, 6, 8, 10, 12, 14, 16, 18, 20, 5, 1, 5, 7, 9, 15, 13, 11, 9, 7, 5, 3, 5, 7, 9, 15, 13, 11, 9, 7, 5, 7, 9, 11, 17, 15, 13, 11, 9, 7, 9, 11, 13, 19, 17, 15, 13, 11, 9, 11, 13, 15, 21, 19, 17, 15, 13, 11, 13, 15, 17, 23, 21, 19, 17, 15, 13, 15, 17, 19, 29, 27, 25, 23, 21, 19, 17, 15, 17, 19, 21, 23, 21, 
18, 18, 16, 14, 12, 10, 8, 6, 4, 99999999, 4, 6, 8, 10, 12, 14, 16, 18, 7, 5, 1, 5, 7, 17, 15, 13, 11, 9, 7, 5, 3, 5, 7, 17, 15, 13, 11, 9, 7, 5, 7, 9, 19, 17, 15, 13, 11, 9, 7, 9, 11, 21, 19, 17, 15, 13, 11, 9, 11, 13, 23, 21, 19, 17, 15, 13, 11, 13, 15, 25, 23, 21, 19, 17, 15, 13, 15, 17, 31, 29, 27, 25, 23, 21, 19, 17, 15, 17, 19, 25, 23, 
20, 20, 18, 16, 14, 12, 10, 8, 6, 4, 99999999, 4, 6, 8, 10, 12, 14, 16, 9, 7, 5, 1, 5, 19, 17, 15, 13, 11, 9, 7, 5, 3, 5, 19, 17, 15, 13, 11, 9, 7, 5, 7, 21, 19, 17, 15, 13, 11, 9, 7, 9, 23, 21, 19, 17, 15, 13, 11, 9, 11, 25, 23, 21, 19, 17, 15, 13, 11, 13, 27, 25, 23, 21, 19, 17, 15, 13, 15, 33, 31, 29, 27, 25, 23, 21, 19, 17, 15, 17, 27, 25, 
22, 22, 20, 18, 16, 14, 12, 10, 8, 6, 4, 99999999, 4, 6, 8, 10, 12, 14, 11, 9, 7, 5, 1, 21, 19, 17, 15, 13, 11, 9, 7, 5, 3, 21, 19, 17, 15, 13, 11, 9, 7, 5, 23, 21, 19, 17, 15, 13, 11, 9, 7, 25, 23, 21, 19, 17, 15, 13, 11, 9, 27, 25, 23, 21, 19, 17, 15, 13, 11, 29, 27, 25, 23, 21, 19, 17, 15, 13, 35, 33, 31, 29, 27, 25, 23, 21, 19, 17, 15, 29, 27, 
24, 24, 22, 20, 18, 16, 14, 12, 10, 8, 6, 4, 99999999, 4, 6, 8, 10, 12, 13, 11, 9, 7, 3, 23, 21, 19, 17, 15, 13, 11, 9, 7, 5, 23, 21, 19, 17, 15, 13, 11, 9, 7, 25, 23, 21, 19, 17, 15, 13, 11, 9, 27, 25, 23, 21, 19, 17, 15, 13, 11, 29, 27, 25, 23, 21, 19, 17, 15, 13, 31, 29, 27, 25, 23, 21, 19, 17, 15, 37, 35, 33, 31, 29, 27, 25, 23, 21, 19, 17, 31, 29, 
26, 26, 24, 22, 20, 18, 16, 14, 12, 10, 8, 6, 4, 99999999, 4, 6, 8, 10, 15, 13, 11, 9, 5, 25, 23, 21, 19, 17, 15, 13, 11, 9, 7, 25, 23, 21, 19, 17, 15, 13, 11, 9, 27, 25, 23, 21, 19, 17, 15, 13, 11, 29, 27, 25, 23, 21, 19, 17, 15, 13, 31, 29, 27, 25, 23, 21, 19, 17, 15, 33, 31, 29, 27, 25, 23, 21, 19, 17, 39, 37, 35, 33, 31, 29, 27, 25, 23, 21, 19, 33, 31, 
28, 28, 26, 24, 22, 20, 18, 16, 14, 12, 10, 8, 6, 4, 99999999, 4, 6, 8, 17, 15, 13, 11, 7, 27, 25, 23, 21, 19, 17, 15, 13, 11, 9, 27, 25, 23, 21, 19, 17, 15, 13, 11, 29, 27, 25, 23, 21, 19, 17, 15, 13, 31, 29, 27, 25, 23, 21, 19, 17, 15, 33, 31, 29, 27, 25, 23, 21, 19, 17, 35, 33, 31, 29, 27, 25, 23, 21, 19, 41, 39, 37, 35, 33, 31, 29, 27, 25, 23, 21, 35, 33, 
30, 30, 28, 26, 24, 22, 20, 18, 16, 14, 12, 10, 8, 6, 4, 99999999, 4, 6, 19, 17, 15, 13, 9, 29, 27, 25, 23, 21, 19, 17, 15, 13, 11, 29, 27, 25, 23, 21, 19, 17, 15, 13, 31, 29, 27, 25, 23, 21, 19, 17, 15, 33, 31, 29, 27, 25, 23, 21, 19, 17, 35, 33, 31, 29, 27, 25, 23, 21, 19, 37, 35, 33, 31, 29, 27, 25, 23, 21, 43, 41, 39, 37, 35, 33, 31, 29, 27, 25, 23, 37, 35, 
32, 32, 30, 28, 26, 24, 22, 20, 18, 16, 14, 12, 10, 8, 6, 4, 99999999, 4, 21, 19, 17, 15, 11, 31, 29, 27, 25, 23, 21, 19, 17, 15, 13, 31, 29, 27, 25, 23, 21, 19, 17, 15, 33, 31, 29, 27, 25, 23, 21, 19, 17, 35, 33, 31, 29, 27, 25, 23, 21, 19, 37, 35, 33, 31, 29, 27, 25, 23, 21, 39, 37, 35, 33, 31, 29, 27, 25, 23, 45, 43, 41, 39, 37, 35, 33, 31, 29, 27, 25, 39, 37, 
34, 34, 32, 30, 28, 26, 24, 22, 20, 18, 16, 14, 12, 10, 8, 6, 4, 99999999, 23, 21, 19, 17, 13, 33, 31, 29, 27, 25, 23, 21, 19, 17, 15, 33, 31, 29, 27, 25, 23, 21, 19, 17, 35, 33, 31, 29, 27, 25, 23, 21, 19, 37, 35, 33, 31, 29, 27, 25, 23, 21, 39, 37, 35, 33, 31, 29, 27, 25, 23, 41, 39, 37, 35, 33, 31, 29, 27, 25, 47, 45, 43, 41, 39, 37, 35, 33, 31, 29, 27, 41, 39, 
15, 13, 11, 9, 7, 5, 3, 1, 5, 7, 9, 11, 13, 15, 17, 19, 21, 23, 99999999, 4, 6, 8, 10, 12, 10, 8, 6, 4, 2, 4, 6, 8, 10, 12, 10, 8, 6, 4, 6, 8, 10, 12, 14, 12, 10, 8, 6, 8, 10, 12, 14, 16, 14, 12, 10, 8, 10, 12, 14, 16, 18, 16, 14, 12, 10, 12, 14, 16, 18, 20, 18, 16, 14, 12, 14, 16, 18, 20, 26, 24, 22, 20, 18, 16, 14, 16, 18, 20, 22, 20, 18, 
17, 17, 15, 13, 11, 9, 7, 5, 1, 5, 7, 9, 11, 13, 15, 17, 19, 21, 4, 99999999, 4, 6, 8, 14, 12, 10, 8, 6, 4, 2, 4, 6, 8, 14, 12, 10, 8, 6, 4, 6, 8, 10, 16, 14, 12, 10, 8, 6, 8, 10, 12, 18, 16, 14, 12, 10, 8, 10, 12, 14, 20, 18, 16, 14, 12, 10, 12, 14, 16, 22, 20, 18, 16, 14, 12, 14, 16, 18, 28, 26, 24, 22, 20, 18, 16, 14, 16, 18, 20, 22, 20, 
19, 19, 17, 15, 13, 11, 9, 7, 5, 1, 5, 7, 9, 11, 13, 15, 17, 19, 6, 4, 99999999, 4, 6, 16, 14, 12, 10, 8, 6, 4, 2, 4, 6, 16, 14, 12, 10, 8, 6, 4, 6, 8, 18, 16, 14, 12, 10, 8, 6, 8, 10, 20, 18, 16, 14, 12, 10, 8, 10, 12, 22, 20, 18, 16, 14, 12, 10, 12, 14, 24, 22, 20, 18, 16, 14, 12, 14, 16, 30, 28, 26, 24, 22, 20, 18, 16, 14, 16, 18, 24, 22, 
21, 21, 19, 17, 15, 13, 11, 9, 7, 5, 1, 5, 7, 9, 11, 13, 15, 17, 8, 6, 4, 99999999, 4, 18, 16, 14, 12, 10, 8, 6, 4, 2, 4, 18, 16, 14, 12, 10, 8, 6, 4, 6, 20, 18, 16, 14, 12, 10, 8, 6, 8, 22, 20, 18, 16, 14, 12, 10, 8, 10, 24, 22, 20, 18, 16, 14, 12, 10, 12, 26, 24, 22, 20, 18, 16, 14, 12, 14, 32, 30, 28, 26, 24, 22, 20, 18, 16, 14, 16, 26, 24, 
