What is the file name?
What is the max warehouse width?
What is the max warehouse height?
Starting x-coord?
Starting y-coord?
Ending x-coord?
Ending y-coord?
Choose a number.
 Do you want to name orders (1) or read all orders from a file (2).
Name of warehouse order file?
Give an order list number or type '101' to read the entire file
0 108335 
0 108335 
0 108335 
0 108335 
0 108335 
1 391825 
1 219130 
1 219130 
1 219130 
2 0 
2 0 
2 379019 
2 379019 
3 0 
3 0 
3 0 
3 386850 
3 386850 
3 386850 
4 0 
4 0 
4 0 
4 0 
4 198029 
4 198029 
4 198029 
4 198029 
4 198029 
4 198029 
4 198029 
5 -1073741824 
5 352109 
5 383599 
5 383599 
5 366109 
6 0 
6 397889 
6 0 
6 0 
6 0 
6 0 
6 327710 
7 -1073741824 
7 386850 
7 -1073741824 
7 -1073741824 
7 0 
7 0 
7 0 
7 660999 
7 660999 
8 0 
8 380489 
8 0 
8 0 
8 0 
8 0 
8 0 
9 352109 
9 287261 
9 352109 
9 352109 
9 0 
9 0 
9 0 
9 0 
9 0 
9 68048 
9 68048 
9 68048 
9 68048 
9 68048 
9 68048 
9 68048 
9 68048 
9 68048 
9 68048 
9 68048 
9 68048 
9 68048 
10 372539 
10 105912 
10 0 
10 0 
10 397889 
11 -1073741824 
11 332555 
11 -1073741824 
11 -1073741824 
11 -1073741824 
11 -1073741824 
11 -1073741824 
11 -1073741824 
11 0 
11 0 
11 0 
11 16643 
11 16643 
11 16643 
11 16643 
11 16643 
11 16643 
11 16643 
11 16643 
11 16643 
11 16643 
11 16643 
12 272457 
12 0 
12 262148 
12 262148 
12 131074 
12 131074 
12 131074 
12 131074 
12 0 
12 0 
12 0 
12 0 
12 207762 
12 207762 
13 129049 
13 68048 
13 129049 
13 129049 
13 180958 
13 180958 
13 180958 
13 180958 
13 0 
14 19494 
14 188856 
14 19494 
14 19494 
15 736830 
15 260945 
15 736830 
15 736830 
15 195946 
15 195946 
15 195946 
15 195946 
15 0 
15 0 
15 0 
15 0 
15 0 
15 0 
15 0 
15 1622038 
15 1622038 
15 1622038 
15 1622038 
15 1622038 
15 1622038 
16 736831 
16 0 
16 736831 
16 736831 
16 272457 
16 272457 
17 479020 
17 176484 
17 479020 
17 479020 
17 1651829 
18 103313 
18 245818 
18 103313 
18 103313 
18 1628756 
19 365797 
19 195946 
19 365797 
19 365797 
19 0 
20 97077 
20 272457 
20 97077 
20 97077 
20 0 
20 0 
20 0 
20 0 
20 0 
20 0 
20 0 
20 0 
20 0 
20 0 
20 0 
20 0 
20 0 
20 0 
21 117900 
21 354111 
21 117900 
21 117900 
21 920290 
21 920290 
21 920290 
21 920290 
21 2355128 
21 2355128 
22 384900 
22 103926 
22 384900 
22 384900 
22 1072892 
22 1072892 
22 1072892 
22 1072892 
23 769581 
23 106685 
23 769581 
23 769581 
23 0 
23 0 
23 0 
23 0 
24 1372184 
24 260033 
24 1372184 
24 1372184 
25 306104 
25 1400578 
25 306104 
25 306104 
25 0 
25 0 
26 397673 
26 0 
26 397673 
26 397673 
26 0 
26 0 
27 16643 
27 0 
27 16643 
27 16643 
27 0 
28 193618 
28 0 
28 193618 
28 193618 
28 0 
28 0 
28 0 
29 180958 
29 0 
29 180958 
29 180958 
29 0 
30 226774 
30 0 
30 226774 
30 226774 
30 0 
30 0 
30 0 
30 0 
31 392017 
31 0 
31 392017 
31 392017 
31 0 
31 0 
31 0 
31 0 
31 0 
31 0 
31 0 
31 0 
31 0 
31 0 
31 0 
31 0 
31 0 
31 0 
31 0 
32 154454 
32 0 
32 154454 
32 154454 
32 379553 
33 287261 
33 0 
33 287261 
33 287261 
33 274852 
33 274852 
33 274852 
33 274852 
34 111873 
34 0 
34 111873 
34 111873 
34 0 
34 0 
34 0 
35 391857 
35 0 
35 391857 
35 391857 
35 0 
36 393069 
36 0 
36 393069 
36 393069 
36 0 
37 1400578 
37 208299 
37 1400578 
37 1400578 
37 0 
38 0 
38 147629 
38 0 
38 0 
38 0 
38 0 
38 0 
38 0 
39 0 
39 311368 
39 0 
39 0 
39 0 
40 0 
40 48409 
40 0 
40 0 
40 0 
41 0 
41 255229 
41 0 
41 0 
41 0 
41 0 
41 0 
41 0 
42 0 
42 396806 
42 0 
42 0 
42 0 
42 0 
42 0 
42 0 
42 0 
42 0 
42 0 
43 0 
43 104076 
43 0 
43 0 
43 0 
43 0 
43 0 
44 0 
44 286438 
44 0 
44 0 
44 0 
44 0 
44 0 
44 0 
45 0 
45 0 
45 0 
45 0 
45 0 
45 0 
45 0 
46 0 
46 0 
46 0 
46 0 
46 0 
46 0 
46 0 
46 0 
